y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chor,d/4    XTr,top    XTr,Bot      X,CP       BM
0.4488,-3.3655,0.837    0,.362441    0,.000000    0,.005317   -0,.226041   -0,0.117399,0.0000    0,.0000    0,.5669   28,63.0681
1.3434,3.1951,-0.857,0.380225,0,0.005696,-0.266282,-0.116355,0,0,0.5496,2327.9669
2.2288,3.0264,-0.825,0.394374,0,0.005685,-0.313067,-0.116157,0,0,0.538,1858.4829
3.099,2.8606,-0.787,0.406234,0,0.005582,-0.365924,-0.116179,0,0,0.5293,1454.3326
3.948,2.6988,-0.751,0.41623,0,0.005456,-0.42478,-0.116259,0,0,0.5225,1113.2818
4.77,2.5422,-0.72,0.424559,0,0.00534,-0.48953,-0.116329,0,0,0.5171,831.5247
5.5594,2.3918,-0.698,0.431271,0,0.005256,-0.559865,-0.116353,0,0,0.5128,604.0578
6.3109,2.2486,-0.687,0.436302,0,0.005231,-0.635112,-0.116311,0,0,0.5096,425.0448
7.0193,2.1137,-0.689,0.439435,0,0.005288,-0.713989,-0.116166,0,0,0.5073,288.1622
7.6797,1.9878,-0.71,0.440296,0,0.005457,-0.794357,-0.115871,0,0,0.5061,186.9129
8.2876,1.872,-0.755,0.438285,0,0.005774,-0.872829,-0.115345,0,0,0.5061,114.9012
8.839,1.767,-0.832,0.432527,0,0.00628,-0.944378,-0.114452,0,0,0.5077,66.0642
9.3299,1.6734,-0.953,0.421799,0,0.007017,-1.001872,-0.112973,0,0,0.511,34.8574
9.7572,1.592,-1.137,0.404481,0,0.008027,-1.035854,-0.110559,0,0,0.5168,16.3971
10.1177,1.5233,-1.415,0.37857,0,0.009355,-1.035055,-0.1067,0,0,0.5257,6.5611
10.4092,1.4678,-1.853,0.341683,0,0.011053,-0.988339,-0.100744,0,0,0.5388,2.0522
10.6296,1.4258,-2.572,0.290869,0,0.013067,-0.889297,-0.092057,0,0,0.5574,0.4195
10.7773,1.3977,-3.769,0.222555,0,0.014663,-0.749273,-0.081534,0,0,0.5851,0.0332
10.8514,1.3835,-5.93,0.138981,0,0.014437,-0.539756,-0.056473,0,0,0.5745,0
