y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
0.4488,3.3655,-0.837,0.36243,0,0.005316,-0.226041,-0.117398,0,0,0.5669,2863.1038
1.3434,3.1951,-0.857,0.380217,0,0.005695,-0.266293,-0.116354,0,0,0.5496,2327.9982
2.2288,3.0264,-0.825,0.394369,0,0.005684,-0.313091,-0.116156,0,0,0.538,1858.5085
3.099,2.8606,-0.787,0.406234,0,0.005581,-0.365965,-0.11618,0,0,0.5293,1454.352
3.948,2.6988,-0.752,0.416256,0,0.005462,-0.424879,-0.116278,0,0,0.5226,1113.2952
4.77,2.5422,-0.72,0.424563,0,0.005339,-0.489609,-0.116329,0,0,0.5171,831.5352
5.5594,2.3918,-0.698,0.431274,0,0.005256,-0.559961,-0.116352,0,0,0.5128,604.066
6.3109,2.2486,-0.687,0.436303,0,0.005231,-0.635228,-0.11631,0,0,0.5096,425.0512
7.0193,2.1137,-0.689,0.439438,0,0.005288,-0.714128,-0.116164,0,0,0.5073,288.167
7.6797,1.9878,-0.71,0.440299,0,0.005457,-0.794521,-0.11587,0,0,0.5061,186.9163
8.2876,1.872,-0.755,0.438289,0,0.005774,-0.873017,-0.115344,0,0,0.5061,114.9035
8.839,1.767,-0.832,0.432532,0,0.00628,-0.94459,-0.11445,0,0,0.5076,66.0656
9.3299,1.6734,-0.953,0.421805,0,0.007017,-1.002104,-0.112971,0,0,0.511,34.8583
9.7572,1.592,-1.137,0.404488,0,0.008028,-1.036101,-0.110557,0,0,0.5168,16.3975
10.1177,1.5233,-1.415,0.378578,0,0.009355,-1.035309,-0.106697,0,0,0.5257,6.5613
10.4092,1.4678,-1.853,0.341692,0,0.011054,-0.988587,-0.100742,0,0,0.5388,2.0522
10.6296,1.4258,-2.572,0.290877,0,0.013068,-0.889523,-0.092055,0,0,0.5574,0.4195
10.7773,1.3977,-3.769,0.222562,0,0.014664,-0.749465,-0.081532,0,0,0.5851,0.0332
10.8514,1.3835,-5.93,0.138986,0,0.014439,-0.539896,-0.056472,0,0,0.5745,0
